country,happiness_score,hdi,gdp_percapita,beer,spirits,wine,consumption,incomeperperson,suiciderate,employrate,life_exp
Croatia,5.4879999999999995,828,12.299000000000001,230,87,254,15.0,6338.494668,14.77625,47.09999847,78.0
Turkey,5.388999999999999,787,10.863,51,22,7,3.02,5348.597192,3.56332469,42.79999924,75.8
Jordan,5.303,735,4.088,6,21,1,0.65,2534.00038,0.201448724,38.90000153,74.1
Azerbaijan,5.291,757,3.8810000000000002,21,46,5,13.34,2344.896916,1.380964637,60.90000153,72.7
Philippines,5.279,696,2.951,71,186,1,6.08,1383.401869,1.922485113,61.0,68.5
China,5.245,748,8.117,79,192,8,5.56,2425.471293,16.91324806,72.80000305,76.1
Kyrgyzstan,5.185,669,1.22,31,97,6,4.72,372.728414,9.875281,58.90000153,71.1
Serbia,5.1770000000000005,785,5.426,283,131,127,,,,,75.6
Bosnia and Herzegovina,5.162999999999999,766,4.809,76,173,8,9.6,2183.3448670000002,11.8367157,41.20000076,77.4
Montenegro,5.1610000000000005,810,7.029,31,114,128,,,,,76.1
Dominican Republic,5.155,733,6.794,193,147,9,,,,,73.9
Morocco,5.151,662,2.8930000000000002,12,6,10,1.24,1844.351028,2.109413624,46.20000076,74.3
Hungary,5.145,835,12.82,234,215,185,16.12,5634.003948,20.162010000000002,47.29999924,75.8
Lebanon,5.129,753,8.257,20,55,31,2.3,6746.612631999999,5.83831501,46.0,74.9
Portugal,5.122999999999999,845,19.872,194,67,339,13.89,11744.83417,8.188375472999999,57.59999847,81.1
Macedonia,5.121,756,4.834,106,27,86,,,,,
Vietnam,5.061,689,2.171,111,2,1,3.91,722.8075587999999,11.65332222,71.0,
Tunisia,5.045,732,3.6889999999999996,51,3,20,1.05,3164.927693,3.146814108,41.59999847,75.3
Greece,5.033,868,17.882,133,112,218,11.01,13577.87989,2.816705,49.59999847,81.0
Mongolia,4.907,743,3.694,77,189,8,3.41,772.9333448,13.08961582,52.09999847,68.8
Nigeria,4.875,530,2.176,42,5,2,12.72,544.5994767000001,7.631049633,50.90000153,54.5
Honduras,4.871,614,2.375,69,98,2,4.43,1392.411829,7.060184479,56.29999924,74.6
Zambia,4.795,586,1.263,32,19,4,3.56,432.226337,12.01903629,61.0,61.8
Albania,4.655,782,4.132,89,132,54,7.29,1914.9965510000002,7.699329852999999,51.40000153,77.8
Sierra Leone,4.635,413,481.0,25,3,2,9.48,268.33179029999997,11.98049736,63.79999924,51.0
Namibia,4.574,645,4.561,376,3,1,12.09,2667.2467100000003,8.021969795,42.0,65.8
Cameroon,4.513,553,1.375,147,1,4,7.9,713.6393027,7.214220524,59.09999847,57.3
South Africa,4.459,696,5.28,225,76,81,10.16,3745.6498520000005,15.714571,41.09999847,62.9
Egypt,4.362,694,3.548,6,4,1,0.32,1975.551906,1.7999036309999998,42.40000153,79.0
Armenia,4.36,749,3.6060000000000003,21,179,11,13.66,1326.741757,3.7415878769999997,40.09999847,74.8
Kenya,4.356,585,1.463,58,22,2,3.88,468.69604360000005,10.93771839,73.19999695,63.4
Ukraine,4.324,746,2.186,206,237,45,17.47,1036.830725,18.95457,54.40000153,71.3
Ghana,4.276,588,1.517,31,3,10,3.11,358.9795398,6.288554668,65.09999847,62.4
Dem. Rep. Congo,4.272,452,1.712,32,3,1,,,,,
Georgia,4.252,776,3.866,52,100,149,6.66,1258.762596,1.574350119,55.59999847,74.4
Rep. Congo,4.236000000000001,612,498.0,76,1,9,,,,,
Senegal,4.218999999999999,499,953.0,9,1,7,0.51,561.7085847999999,6.81143856,65.59999847,66.7
Bulgaria,4.217,810,7.468999999999999,231,252,94,11.4,2549.558474,9.216544,47.29999924,74.5
Zimbabwe,4.1930000000000005,532,1.0290000000000001,64,18,4,4.96,320.77188989999996,13.90526676,66.80000305,67.0
Malawi,4.156000000000001,474,300.0,8,11,1,1.44,184.1417966,10.17173481,71.80000305,58.3
Gabon,4.121,698,7.079,347,98,59,9.46,4180.765821,7.745064735,59.0,66.0
Mali,4.073,421,780.0,5,1,1,0.99,269.8928811,8.262892723,45.70000076,58.2
Haiti,4.0280000000000005,496,735.0,1,326,1,5.92,371.4241975,1.519248009,55.90000153,63.5
Botswana,3.9739999999999998,712,6.954,173,35,35,6.97,4189.436587,11.21397018,46.0,65.7
Comoros,3.9560000000000004,502,775.0,1,3,1,0.28,336.36874950000004,4.751083851000001,68.0,63.5
Cote d'Ivoire,3.9160000000000004,486,1.535,37,1,7,6.47,591.0679443,20.31793022,59.90000153,
Cambodia,3.907,576,1.27,57,65,1,4.71,557.9475126,4.961071491,78.90000153,68.7
Angola,3.866,577,3.3089999999999997,217,57,45,5.57,1381.004268,14.55467701,75.69999695,52.4
Niger,3.8560000000000003,351,368.0,3,2,1,0.34,180.083376,9.257975578,60.40000153,61.8
Chad,3.763,405,651.0,15,1,1,4.39,275.88428650000003,8.283070563999999,68.90000153,53.1
Burkina Faso,3.739,420,614.0,25,7,7,7.32,276.20041299999997,8.204221725,81.30000305,59.9
Madagascar,3.695,517,402.0,26,15,4,1.32,242.67753419999997,5.767406464,83.0,65.5
Tanzania,3.6660000000000004,533,878.0,36,6,1,7.86,456.38571169999994,12.41118145,78.19999695,
Liberia,3.622,432,455.0,19,152,2,5.07,155.0332312,7.1848526,66.0,61.4
Benin,3.484,512,789.0,34,4,13,2.08,377.0396995,6.057739735,71.59999847,60.0
Togo,3.303,500,577.0,36,2,19,1.92,285.2244493,6.369887829,63.90000153,59.9
Syria,3.069,536,2.0580000000000003,5,35,16,1.49,1525.780116,0.5235275629999999,44.79999924,
